#,t[s],x[m]
1,0.417,0.0.220
2,0.715,0.0331
3,0.968,0.439
4,1.232,0.548
5,1.502,0.656
6,1.768,0.764
7,2.035,0.872
8,2.302,0.977
9,2.569,1.081
10,2.836,1.162
